ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11560,영등포구,10900,영등포동8가,1,대지,0051,0001,메이준,20230804,8000,17.44,25.56,6.0,,,2012,오피스텔,중개거래,서울 영등포구
2023,11560,영등포구,13200,신길동,1,대지,4934,0000,삼성래미안,20230803,75000,59.33,0.0,5.0,,,2001,아파트,중개거래,서울 영등포구
2023,11560,영등포구,12100,문래동3가,1,대지,0013,0000,문래해태,20230802,68000,84.69,0.0,13.0,,,1999,아파트,중개거래,서울 영등포구
2023,11560,영등포구,10300,영등포동2가,1,대지,0028,0118,그린나래,20230801,37500,56.51,63.16,5.0,,,2014,오피스텔,중개거래,서울 영등포구
2023,11560,영등포구,13300,대림동,,,,,,20230801,77000,216.88,111.2,0.0,,,1985,단독다가구,직거래,
2023,11560,영등포구,13200,신길동,,,,,,20230801,269550,57.95,99.0,0.0,,,1973,단독다가구,중개거래,서울 영등포구
2023,11560,영등포구,12800,양평동4가,1,대지,0248,0000,코쿤빌,20230731,11400,15.98,7.93,4.0,,,2011,연립다세대,중개거래,서울 영등포구
2023,11560,영등포구,11300,당산동3가,1,대지,0558,0003,THE PARK 365,20230731,86000,125.62,171.55,2.0,,,2007,오피스텔,중개거래,서울 영등포구
2023,11560,영등포구,10200,영등포동1가,1,대지,0092,0003,여의도이튼브라운,20230731,30500,31.19,0.0,5.0,,,2022,아파트,직거래,
2023,11560,영등포구,10300,영등포동2가,1,대지,0094,0259,(94-259),20230731,24000,21.26,41.2,7.0,,,2020,오피스텔,직거래,
2023,11560,영등포구,11000,여의도동,1,대지,0050,0000,시범,20230729,233000,118.12,0.0,12.0,,,1971,아파트,중개거래,서울 영등포구
2023,11560,영등포구,13200,신길동,1,대지,4945,0000,래미안영등포프레비뉴,20230729,103300,59.99,0.0,13.0,,,2015,아파트,중개거래,서울 영등포구
2023,11560,영등포구,10300,영등포동2가,1,대지,0094,0125,청풍 스카이,20230729,22800,38.91,58.99,2.0,,,2017,오피스텔,중개거래,서울 영등포구
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,26400,24.4,10.69,5.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,26400,24.4,10.69,3.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,26400,24.4,10.69,4.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,27300,28.48,35.69,6.0,,,2023,오피스텔,직거래,
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,27000,28.48,35.69,7.0,,,2023,오피스텔,직거래,
2023,11560,영등포구,12300,문래동5가,1,대지,0020,0021,삼정리버뷰,20230728,26150,27.58,34.57,6.0,,,2023,오피스텔,직거래,
